run,n_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_abs_error,median_abs_error,max_abs_error,mean_error,std_error,std_abs_error
every_2_removed,100,person11,8,7.997550964355469,-0.00244903564453125,0.00244903564453125,person36,85,66.60308074951172,-18.39691925048828,18.39691925048828,2.7290917205810548,0.31771087646484375,18.39691925048828,-1.0079791641235352,4.914726555942523,4.20210049981655
every_3_removed,100,person43,7,7.002689361572266,0.002689361572265625,0.002689361572265625,person15,2,16.42203712463379,14.422037124633789,14.422037124633789,1.5362686729431152,0.1846599578857422,14.422037124633789,0.6354692649841308,3.2858428895362657,2.9699667737899205
every_4_removed,100,person95,71,70.99906921386719,-0.0009307861328125,0.0009307861328125,person74,7,-1.3761787414550781,-8.376178741455078,8.376178741455078,1.022464542388916,0.1865367889404297,8.376178741455078,-0.025993022918701172,2.23100662046723,1.9804240266197872
every_5_removed,100,person29,52,51.9989128112793,-0.001087188720703125,0.001087188720703125,person44,27,35.81060791015625,8.81060791015625,8.81060791015625,0.7973553276062012,0.1636486053466797,8.81060791015625,0.09941263198852539,1.8450455725237276,1.6649259351923649
every_6_removed,100,person52,44,43.995628356933594,-0.00437164306640625,0.00437164306640625,person70,44,32.916046142578125,-11.083953857421875,11.083953857421875,0.7474557113647461,0.15160751342773438,11.083953857421875,-0.24040378570556642,1.857153360158309,1.7155357724957945
every_7_removed,100,person8,3,3.0045433044433594,0.004543304443359375,0.004543304443359375,person46,36,44.26312255859375,8.26312255859375,8.26312255859375,0.6630730819702149,0.19764328002929688,8.26312255859375,0.09545188903808594,1.7491457059535607,1.6200638298737913
every_8_removed,100,person63,76,75.9969711303711,-0.00302886962890625,0.00302886962890625,person69,67,75.8504638671875,8.8504638671875,8.8504638671875,0.6693841171264648,0.2027912139892578,8.8504638671875,0.2422701644897461,1.6488786380519505,1.524954873230159
original,100,person3,37,36.99971008300781,-0.0002899169921875,0.0002899169921875,person47,100,98.81910705566406,-1.1808929443359375,1.1808929443359375,0.28780651092529297,0.22044754028320312,1.1808929443359375,-2.13623046875e-06,0.38263387398055615,0.2504783443446227
