run,n_pairs,missing_only,mean_query_abs_error,mean_learning_abs_error,mean_error_difference_query_minus_learning,median_error_difference_query_minus_learning,better_method_by_mean,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,std_query_abs_error,std_learning_abs_error,std_error_difference_query_minus_learning
every_2_removed,100,False,7.59,2.7290917205810548,4.860908279418945,0.009157180786132837,learning,5.330160006754637,6.183926363285958e-07,1526.0,0.0005928020160383884,0.5330160006754638,3.1639293065071104,6.742886158943176,9.469883149684945,4.20210049981655,9.11962919172964
every_3_removed,100,False,6.2,1.5362686729431152,4.663731327056885,1.9242401123046875,learning,6.4841311407734885,3.5248668192338342e-09,807.0,3.4830480473018767e-09,0.6484131140773489,3.3395837168693543,6.108827035427094,8.052855695247795,2.9699667737899205,7.192530850788053
every_4_removed,100,False,6.61,1.022464542388916,5.587535457611084,1.7607002258300783,learning,6.906327022372733,4.836305863671167e-10,1119.0,1.3362521540199086e-06,0.6906327022372734,4.105328746318817,7.246457316875457,8.482775179590389,1.9804240266197872,8.09045884956
every_5_removed,100,False,3.94,0.7973553276062012,3.1426446723937986,-0.01922798156738275,learning,5.223689501948793,9.727632395681274e-07,1604.0,0.0015418077914324901,0.5223689501948793,2.041543043613434,4.3924928150177,6.1526376047147044,1.664925935192365,6.016139878186438
every_6_removed,100,False,4.3,0.7474557113647461,3.552544288635254,0.816650390625,learning,6.692682020982595,1.3283892705747924e-09,1280.0,1.8629428688391447e-05,0.6692682020982594,2.559528606414795,4.605143348217011,5.463376689235774,1.715535772495795,5.3081026074411986
every_7_removed,100,False,3.97,0.6630730819702149,3.3069269180297853,-0.04152107238769525,learning,5.431214425713304,4.0061028791009986e-07,1739.0,0.006881535551827731,0.5431214425713304,2.1651938619613644,4.579576669216156,6.207611814896647,1.6200638298737913,6.088743067063629
every_8_removed,100,False,4.27,0.6693841171264648,3.600615882873535,-0.0641746520996093,learning,5.548940086805769,2.403985490184024e-07,2019.0,0.08189548258825208,0.554894008680577,2.4134448308944703,4.931433393478393,6.865011568699927,1.524954873230159,6.488835392970008
original,100,False,3.37,0.28780651092529297,3.082193489074707,-0.0819292068481445,learning,5.142137814070392,1.3719590515676111e-06,1976.0,0.05907425074396596,0.5142137814070393,1.9578309841156005,4.311959206581116,5.997735262816148,0.2504783443446227,5.993992383169748
