run,n_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_top1_abs_error,median_top1_abs_error,mean_top1_error,std_top1_error,std_top1_abs_error,mean_top1_avg_abs_error,std_top1_avg_error,std_top1_avg_abs_error,mean_top2_avg_abs_error,std_top2_avg_error,std_top2_avg_abs_error,mean_top3_avg_abs_error,std_top3_avg_error,std_top3_avg_abs_error,mean_top4_avg_abs_error,std_top4_avg_error,std_top4_avg_abs_error,mean_top5_avg_abs_error,std_top5_avg_error,std_top5_avg_abs_error,mean_top6_avg_abs_error,std_top6_avg_error,std_top6_avg_abs_error,mean_top7_avg_abs_error,std_top7_avg_error,std_top7_avg_abs_error,mean_top8_avg_abs_error,std_top8_avg_error,std_top8_avg_abs_error,mean_top9_avg_abs_error,std_top9_avg_error,std_top9_avg_abs_error,mean_top10_avg_abs_error,std_top10_avg_error,std_top10_avg_abs_error
every_2_removed,500,person154,50.0,50.0,0.0,0.0,person12,23.0,50.0,27.0,27.0,5.17,3.0,0.322,7.932980547103431,6.021096844797371,5.17,7.932980547103431,6.021096844797371,5.351,6.881266937805761,4.353182674641348,5.094,6.268499675070001,3.6978764660943946,4.799,5.940600261162659,3.556775267092539,4.3948,5.466178479920748,3.312025359801452,4.182666666666667,5.226646013073858,3.18007210706001,4.131428571428572,5.150345218219426,3.10164004264731,4.07825,5.088951320122561,3.075510236355564,4.034666666666666,5.030986868161332,3.026489057103342,3.966,4.980785267783338,3.029614021991001
every_3_removed,500,person400,22.0,22.0,0.0,0.0,person414,59.0,31.0,-28.0,28.0,3.454,1.0,0.294,5.838813877406094,4.714269048890895,3.454,5.838813877406094,4.714269048890895,4.176,5.420393466406413,3.4781055816167727,3.861333333333333,4.907865621283841,3.055031221585642,3.8125,4.810598347703314,2.9498087214234707,3.6672000000000002,4.612987433988117,2.797301190057265,3.629333333333333,4.535116156959403,2.7186699565532644,3.4568571428571433,4.369087418460342,2.670617720727815,3.40375,4.323935304851482,2.6650816136687125,3.3893333333333335,4.322692036682593,2.6806533665526184,3.3811999999999998,4.314040199823292,2.678401431536526
every_4_removed,500,person128,66.0,66.0,0.0,0.0,person288,63.0,38.0,-25.0,25.0,2.464,0.0,-0.132,4.717954449586892,4.024063888702654,2.464,4.717954449586892,4.024063888702654,3.795,4.671951333063844,2.7737813045463593,3.5506666666666664,4.4950069530925125,2.843637125189335,3.603,4.5063989240329185,2.798401884328344,3.4679999999999995,4.298580387371322,2.6535445346167434,3.470666666666667,4.2638416457519845,2.6149642164826554,3.4871428571428575,4.309677172194528,2.683645447029574,3.54175,4.340610554688701,2.697271999628506,3.5491111111111113,4.2941207562894625,2.627746662980032,3.6464000000000008,4.413064208848864,2.6791122269605094
every_5_removed,500,person321,60.0,60.0,0.0,0.0,person168,88.0,65.0,-23.0,23.0,3.054,0.0,0.794,5.589817180572586,4.746804008656055,3.054,5.589817180572586,4.746804008656055,4.193,5.4089122440031,3.4847579652182885,3.998666666666667,5.1003468693301715,3.2544436161879244,4.0095,5.096350490954611,3.215075141630855,3.9872,5.034893490922113,3.1380776316791295,3.9480000000000004,4.988853261952505,3.111590159383668,3.950857142857143,4.998117514014493,3.1125128050691386,3.9875,5.060642494279735,3.167368101655184,3.9437777777777785,4.988973214215093,3.111146825191835,3.9479999999999995,5.007048915047201,3.1294412928845974
every_6_removed,500,person316,65.0,65.0,0.0,0.0,person92,61.0,87.0,26.0,26.0,2.644,0.0,0.144,5.075310981912956,4.332991302466982,2.644,5.075310981912956,4.332991302466982,3.877,4.957302562623628,3.1104212642151485,3.962666666666667,5.024278796156687,3.1107991700342708,3.944,4.964853930288201,3.0811281540050888,3.7719999999999994,4.702709132656701,2.8796320183527344,3.769333333333333,4.697532290388058,2.9148865834291353,3.7442857142857147,4.6649370284109635,2.8906067066677563,3.83975,4.74789977696288,2.945507718363317,3.839777777777778,4.70480760258087,2.903025028916143,3.9558,4.784046211766,2.937141460658618
every_7_removed,500,person34,41.0,41.0,0.0,0.0,person246,98.0,57.0,-41.0,41.0,2.4,0.0,-0.296,5.040952927059094,4.441559963551054,2.4,5.040952927059094,4.441559963551054,3.902,5.084147234906993,3.2910572945836822,3.6773333333333333,4.721621081100134,3.034628614929673,3.5645,4.677157722240874,3.117877012348027,3.6376,4.630919454058768,2.990034590720886,3.628666666666667,4.552117846355425,2.877635181036147,3.692,4.653049755781023,2.937739776995509,3.7745,4.792047598926868,3.0647692198176166,3.7633333333333336,4.79478659847872,3.0799748911584497,3.8658,4.874093681746062,3.0914923596897403
every_8_removed,500,person371,87.0,87.0,0.0,0.0,person476,74.0,99.0,25.0,25.0,1.954,0.0,-0.262,4.286502561344952,3.82323400231701,1.954,4.286502561344952,3.82323400231701,3.73,4.741645537659855,2.923044367907115,3.634,4.543280130505277,2.7296420812596596,3.753,4.730921923313571,2.878030075282129,3.8124000000000002,4.703616056611767,2.7507416088752494,3.8163333333333336,4.729469324725595,2.791418502613984,3.722,4.592374456993382,2.69010384653928,3.80125,4.651196722285437,2.678339353196634,3.798888888888889,4.659585104194329,2.6971232153231885,3.8038000000000003,4.696160863269849,2.753428462225446
original,500,person381,11.0,11.0,0.0,0.0,person399,64.0,88.0,24.0,24.0,1.748,0.0,0.368,4.089746698282452,3.7148480712385497,1.748,4.089746698282452,3.7148480712385497,3.485,4.539116451063205,2.9280406151020815,3.3353333333333337,4.197871129730094,2.5993928174425807,3.1805,3.984249394361872,2.480847427375539,3.1848,3.9714923218514535,2.4527128982256046,3.1476666666666664,3.913044758626007,2.4171474886198525,3.1691428571428575,3.9418732305677247,2.453585931437482,3.167,3.884774536107956,2.3623261140957394,3.226666666666667,3.9355814067842965,2.3604063941051847,3.2638,3.9559521172921968,2.354050268225099
