method,removal_percent,missing_only,n_pairs,with_windows_run,without_windows_run,mean_with_windows_abs_error,std_with_windows_abs_error,mean_without_windows_abs_error,std_without_windows_abs_error,mean_error_difference_with_minus_without,median_error_difference_with_minus_without,std_error_difference_with_minus_without,better_window_condition_by_mean,paired_t_p_value,wilcoxon_p_value,cohen_dz_with_minus_without,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high
query_point,15.0,True,30,with_windows_removed_15pct,without_windows_removed_15pct,7.566666666666666,5.980908322973701,7.433333333333334,5.1640890863688655,0.13333333333333333,0.5,6.489956874270048,without_windows,0.9111807193968597,0.9903965701680543,0.020544563841701936,-2.1333333333333333,2.434166666666654
query_point,30.0,True,60,with_windows_removed_30pct,without_windows_removed_30pct,6.716666666666667,6.003083012062844,8.266666666666667,6.548040635044355,-1.55,0.0,8.941286829617509,with_windows,0.18448412409962783,0.16469758296783665,-0.17335312349735973,-3.850416666666667,0.7166666666666667
query_point,45.0,True,90,with_windows_removed_45pct,without_windows_removed_45pct,7.722222222222222,5.7201158505156915,7.611111111111111,7.464815514242326,0.1111111111111111,0.0,9.470764529542082,without_windows,0.9116293721977368,0.8248615414292266,0.011732010733085284,-1.8113888888888887,2.0444444444444443
query_point,60.0,True,120,with_windows_removed_60pct,without_windows_removed_60pct,8.308333333333334,7.048208346548685,8.341666666666667,6.667991815077338,-0.03333333333333333,0.0,8.654850811945334,with_windows,0.9664179221627665,0.9068111818730799,-0.003851404727546201,-1.5583333333333333,1.5666666666666667
query_point,75.0,True,150,with_windows_removed_75pct,without_windows_removed_75pct,10.36,8.347551182128507,9.226666666666667,6.876813163385809,1.1333333333333333,0.0,10.039964883135106,without_windows,0.16888110118837618,0.3164831534045116,0.1128822009364873,-0.44666666666666666,2.7333333333333334
