method,removal_percent,missing_only,n_pairs,with_windows_run,without_windows_run,mean_with_windows_abs_error,std_with_windows_abs_error,mean_without_windows_abs_error,std_without_windows_abs_error,mean_error_difference_with_minus_without,median_error_difference_with_minus_without,std_error_difference_with_minus_without,better_window_condition_by_mean,paired_t_p_value,wilcoxon_p_value,cohen_dz_with_minus_without,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high
learned_regression,0.0,False,200,with_windows_original,without_windows_original,0.4708947944641113,0.517946006627888,0.4598266887664795,0.4157057503241614,0.011068105697631836,0.008373260498046847,0.5445626359404805,without_windows,0.7740779524908743,0.7977688142844341,0.020324761500606435,-0.06640113615989686,0.08670554447174071
learned_regression,15.0,False,200,with_windows_removed_15pct,without_windows_removed_15pct,0.8347730064392089,1.6191157454334528,0.7278626632690429,1.4634972610059271,0.10691034317016601,0.051298141479492215,1.6713432554900391,without_windows,0.3667574173904221,0.020102769871777,0.06396671827823891,-0.10706936860084533,0.34540527510643
learned_regression,30.0,False,200,with_windows_removed_30pct,without_windows_removed_30pct,1.312757215499878,2.2570725316886007,1.239224739074707,2.3191276343846385,0.0735324764251709,-0.00873756408691409,1.8976099618544167,without_windows,0.5843002945043259,0.9951322554441204,0.0387500476406185,-0.18985716009140016,0.3404731545448301
learned_regression,45.0,False,200,with_windows_removed_45pct,without_windows_removed_45pct,1.8337837505340575,2.7409626903821325,2.2025892448425295,3.1677707532561814,-0.3688054943084717,-0.002565383911132743,2.903774572296644,with_windows,0.0739829772564796,0.4537460147221324,-0.1270089964376185,-0.7857929077148438,0.023594235897064213
learned_regression,60.0,False,200,with_windows_removed_60pct,without_windows_removed_60pct,2.021500005722046,2.5311593798677956,2.134269428253174,2.757734253239104,-0.11276942253112793,-0.0008277893066406007,3.0166603857240646,with_windows,0.5976275099054158,0.829011036859298,-0.03738220684860447,-0.5386423735618591,0.2967580537796017
learned_regression,75.0,False,200,with_windows_removed_75pct,without_windows_removed_75pct,2.4457293128967286,2.491738079386861,2.21796049118042,2.3877775461624458,0.2277688217163086,0.009883880615234349,2.849347698402444,without_windows,0.2596336464274209,0.3019484725931114,0.07993718065507159,-0.17473886060714722,0.6319824597835532
