run,n_pairs,missing_only,mean_query_abs_error,mean_learning_abs_error,mean_error_difference_query_minus_learning,median_error_difference_query_minus_learning,better_method_by_mean,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high
every_2_removed,100,False,5.46,2.0088130950927736,3.4511869049072263,1.8908729553222656,learning,5.999131258695599,3.258670036345006e-08,1093.0,8.493116992118598e-07,0.5999131258695599,2.3693131589889527,4.619962400913238
every_3_removed,100,False,5.38,0.9431338691711426,4.436866130828857,0.9248390197753906,learning,6.980776067610004,3.3929511745537213e-10,1178.0,3.6316006848389984e-06,0.6980776067610005,3.224415623664856,5.715123851776123
every_4_removed,100,False,4.27,0.9137678146362305,3.3562321853637695,0.3317680358886719,learning,6.147336065386571,1.6635349145961546e-08,1367.0,6.845862261106332e-05,0.6147336065386572,2.322451231956482,4.4739083776474
every_5_removed,100,False,2.84,0.7941739845275879,2.045826015472412,-0.0633134841918945,learning,4.179257577457734,6.315193211911439e-05,2457.0,0.8151355219610021,0.4179257577457734,1.1256085286140443,3.0630757093429564
every_6_removed,100,False,4.33,0.7779302597045898,3.5520697402954102,-0.0169906616210937,learning,5.835794261502137,6.782317783004829e-08,1382.0,8.494399052511614e-05,0.5835794261502139,2.448960723876953,4.768054413318632
every_7_removed,100,False,4.25,0.7275668525695801,3.52243314743042,-0.050397872924804646,learning,5.7740781506500705,8.926158220973734e-08,1631.0,0.002113068620757455,0.5774078150650069,2.38562477016449,4.763019495010376
every_8_removed,100,False,2.85,0.5097613334655762,2.340238666534424,-0.055282592773437444,learning,4.8868232799307645,3.952465223241315e-06,2048.0,0.10098833668087576,0.4886823279930765,1.476980001449585,3.3271890358924865
original,100,False,2.39,0.21247245788574218,2.177527542114258,-0.0865192413330078,learning,4.197187658834453,5.905667562398978e-05,2487.0,0.8960471686012128,0.41971876588344537,1.238800768852234,3.2405596709251405
