run,window_condition,removal_percent,removed_relation,nested_removals,n_missing_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_abs_error,median_abs_error,max_abs_error,mean_error,std_error,std_abs_error
with_windows_removed_15pct,with_windows,15.0,hasAge,True,75,person24,46.0,46.05973434448242,0.059734344482421875,0.059734344482421875,person20,62.0,55.434139251708984,-6.565860748291016,6.565860748291016,1.8625864919026693,1.7077560424804688,6.565860748291016,-0.6955071258544921,2.150078496371863,1.2637225532277454
without_windows_removed_15pct,without_windows,15.0,hasAge,True,75,person430,15.0,15.010570526123047,0.010570526123046875,0.010570526123046875,person200,65.0,57.250389099121094,-7.749610900878906,7.749610900878906,2.255029856363932,1.7114887237548828,7.749610900878906,0.425250244140625,2.8688067061160814,1.8053961931015707
with_windows_removed_30pct,with_windows,30.0,hasAge,True,150,person223,37.0,36.998416900634766,-0.001583099365234375,0.001583099365234375,person79,12.0,23.595111846923828,11.595111846923828,11.595111846923828,3.131607666015625,2.5480270385742188,11.595111846923828,0.6227132670084635,3.854522906483868,2.318390821981552
without_windows_removed_30pct,without_windows,30.0,hasAge,True,150,person119,54.0,53.9905891418457,-0.009410858154296875,0.009410858154296875,person301,54.0,62.673423767089844,8.673423767089844,8.673423767089844,2.6543520991007488,2.2635536193847656,8.673423767089844,0.15411373138427734,3.3913796798026064,2.1053493073441216
with_windows_removed_45pct,with_windows,45.0,hasAge,True,225,person200,65.0,65.0307388305664,0.03073883056640625,0.03073883056640625,person9,71.0,83.55392456054688,12.553924560546875,12.553924560546875,3.145011910332574,2.661163330078125,12.553924560546875,-0.33493503994411894,3.9397816205230805,2.3873216993922046
without_windows_removed_45pct,without_windows,45.0,hasAge,True,225,person246,43.0,42.98442459106445,-0.015575408935546875,0.015575408935546875,person470,2.0,-10.874164581298828,-12.874164581298828,12.874164581298828,3.6735165150960287,3.0559043884277344,12.874164581298828,0.44321389940049916,4.492134423956676,2.611822986530434
with_windows_removed_60pct,with_windows,60.0,hasAge,True,300,person405,90.0,89.92322540283203,-0.07677459716796875,0.07677459716796875,person316,41.0,51.64780044555664,10.64780044555664,10.64780044555664,3.109776744842529,2.591938018798828,10.64780044555664,0.19878290176391603,3.815094626614629,2.2116823661842404
without_windows_removed_60pct,without_windows,60.0,hasAge,True,300,person196,73.0,73.02376556396484,0.02376556396484375,0.02376556396484375,person376,85.0,74.87161254882812,-10.128387451171875,10.128387451171875,2.792647825876872,2.3626022338867188,10.128387451171875,-0.48904855728149416,3.428809945602422,2.042484010389922
with_windows_removed_75pct,with_windows,75.0,hasAge,True,375,person5,16.0,15.97036361694336,-0.029636383056640625,0.029636383056640625,person334,6.0,14.813983917236328,8.813983917236328,8.813983917236328,2.306538045247396,1.9004364013671875,8.813983917236328,-0.017802836100260417,2.898010741945967,1.7505545923758827
without_windows_removed_75pct,without_windows,75.0,hasAge,True,375,person77,8.0,7.998603820800781,-0.00139617919921875,0.00139617919921875,person139,97.0,86.80158996582031,-10.198410034179688,10.198410034179688,2.380414596557617,1.8419570922851562,10.198410034179688,-0.12140975443522135,3.0431714514584263,1.8958237895156553
