run,n_pairs,missing_only,mean_query_abs_error,mean_learning_abs_error,mean_error_difference_query_minus_learning,median_error_difference_query_minus_learning,better_method_by_mean,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,std_query_abs_error,std_learning_abs_error,std_error_difference_query_minus_learning
every_2_removed,250,True,7.408,3.7112387084960936,3.6967612915039063,2.142824172973633,learning,8.719243789769108,4.0414337023468797e-16,7180.0,1.0591869462508349e-13,0.5514533969989746,2.8664324377059933,4.5420613231658935,6.265986462272442,2.669046685350973,6.703669451710315
every_3_removed,166,True,5.530120481927711,3.2115800122180618,2.318540469709649,1.6865539550781252,learning,5.444395124259491,1.8547165243842678e-07,3971.0,1.8251369208681042e-06,0.42256701378469996,1.4820798784853464,3.1707827858178006,4.7554430680300355,2.293773364015526,5.486799475765416
every_4_removed,125,True,5.232,2.340012451171875,2.891987548828125,2.550304412841797,learning,6.413409735097625,2.7100355608622993e-09,1558.0,4.547891649092719e-09,0.5736328054094884,2.0262958213806153,3.7893877471923827,4.669972715261871,1.5749842764097763,5.041530961193331
every_5_removed,100,True,6.24,2.4843866348266603,3.75561336517334,3.5949478149414062,learning,7.187137956586958,1.262801333285364e-10,773.0,1.7021609690509306e-09,0.7187137956586959,2.747663061618805,4.784550385475159,4.923905816001001,1.900190388765264,5.225464416932957
every_6_removed,84,True,5.25,2.552439394451323,2.697560605548677,1.7734670639038086,learning,4.31999804595473,4.299427581754998e-05,935.0,0.000150156417041747,0.47135042970592544,1.499110904761723,3.970824589048113,5.093995993394861,1.8947662971535815,5.723046878798179
every_7_removed,71,True,5.957746478873239,2.1497383923597737,3.8080080865134653,2.882503509521484,learning,5.905630663755157,1.1487658520251755e-07,428.0,1.1139484402666093e-06,0.7008694151811812,2.5978836200606654,5.112480292521732,5.178076365707111,1.508646153777923,5.433263321283695
every_8_removed,62,True,5.580645161290323,2.3889090630315963,3.191736098258726,2.4673309326171875,learning,4.524059732105888,2.860591221988455e-05,416.0,8.504962083497629e-05,0.5745561605338957,1.875167848986964,4.64173542914852,5.24028652419235,1.8036730850536136,5.555133366410804
