run,n_pairs,missing_only,mean_query_abs_error,mean_learning_abs_error,mean_error_difference_query_minus_learning,median_error_difference_query_minus_learning,better_method_by_mean,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,std_query_abs_error,std_learning_abs_error,std_error_difference_query_minus_learning
every_2_removed,500,False,5.17,1.9653398780822753,3.2046601219177244,0.7405643463134766,learning,12.227967981719818,2.9451246502026227e-30,32841.0,3.129819702326754e-20,0.5468513526763283,2.7010724652290343,3.7089570618629457,6.021096844797371,2.573411740127302,5.86020333722116
every_3_removed,500,False,3.454,1.4656992149353028,1.9883007850646972,-0.0631275177001953,learning,9.327440060376667,3.52729546681871e-19,45128.0,6.193313179121835e-08,0.4171358006211394,1.5655538098335264,2.409477031135559,4.714269048890895,1.8507057932247646,4.7665551173119205
every_4_removed,500,False,2.464,1.1028627777099609,1.361137222290039,-0.21063041687011713,learning,7.718823147037185,6.455386014362695e-14,54727.0,0.01454795048006552,0.34519626526147995,1.022832667541504,1.7134217279434203,4.024063888702654,1.1563583389007404,3.9430821224528665
every_5_removed,500,False,3.054,1.0692861442565917,1.9847138557434083,-0.21019554138183588,learning,9.526407425410179,7.053747445101916e-20,51182.0,0.0003998632221821612,0.4260338916915183,1.5783053067207338,2.3923521320343015,4.746804008656055,1.2051794477878472,4.658582085719358
every_6_removed,500,False,2.644,1.0308825607299805,1.6131174392700196,-0.2201728820800781,learning,8.258820127403387,1.3299904167774759e-15,56473.0,0.057004955072234256,0.36934566437634897,1.2399600738525391,2.000320665359497,4.332991302466982,1.145136988186314,4.367500677160556
every_7_removed,500,False,2.4,1.0114864349365233,1.3885135650634766,-0.3452911376953125,learning,7.0613208826993015,5.561780024638958e-12,60021.0,0.4204668500220735,0.3157918700930891,1.0171419451713561,1.787686321353912,4.441559963551054,0.9045501143093626,4.3969262560628
every_8_removed,500,False,1.954,1.0130021629333497,0.9409978370666504,-0.45597362518310547,learning,5.598241495236695,3.578918313329155e-08,56926.0,0.07787922443535483,0.2503609707561863,0.6205635414123535,1.2722323345184325,3.82323400231701,0.978916081162148,3.7585644209018505
original,500,False,1.748,0.8761979331970214,0.8718020668029786,-0.4321327209472656,learning,5.236966272345716,2.4108515835813057e-07,52579.0,0.0018837229584971222,0.234204251616774,0.5534620267868042,1.2075212453842163,3.7148480712385497,0.665751253781759,3.722400685660905
